iso3166_country,GID_0_gadm,NAME_0_gadm,GID_1_gadm,GID_1_edits,NAME_1_gadm,VARNAME_1_gadm,NL_NAME_1_gadm,TYPE_1_gadm,ENGTYPE_1_gadm,CC_1_gadm,HASC_1_gadm,region_polygoncluster,polygoncluster_name,project_ifnodata,project_ifconstructed,regionname_ISOenglish,regionname_alt,regionname_nativescript,regioncode,system,Notes1,Notes2,Notes3,mean.scl.regional_2012-13,mean.scl.regional_2022-23,mean.scl.national_2012-13,mean.scl.national_2022-23
AD,AND,Andorra,AND.1_1,AND.1_1,Andorra la Vella,NA,Andorra la Vella,Parr√≤quia,Parish,NA,AD.AN,nat,Andorra,NA,NA,Andorra la Vella,NA,Andorra la Vella,AD-07,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.2_1,AND.2_1,Canillo,NA,Canillo,Parr√≤quia,Parish,NA,AD.CA,nat,Andorra,NA,NA,Canillo,NA,Canillo,AD-02,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.3_1,AND.3_1,Encamp,NA,Encamp,Parr√≤quia,Parish,NA,AD.EN,nat,Andorra,NA,NA,Encamp,NA,Encamp,AD-03,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.4_1,AND.4_1,Escaldes-Engordany,NA,Escaldes-Engordany,Parr√≤quia,Parish,NA,AD.EE,nat,Andorra,NA,NA,Escaldes-Engordany,NA,Escaldes-Engordany,AD-08,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.5_1,AND.5_1,La Massana,NA,La Massana,Parr√≤quia,Parish,NA,AD.MA,nat,Andorra,NA,NA,La Massana,NA,La Massana,AD-04,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.6_1,AND.6_1,Ordino,NA,Ordino,Parr√≤quia,Parish,NA,AD.OR,nat,Andorra,NA,NA,Ordino,NA,Ordino,AD-05,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AD,AND,Andorra,AND.7_1,AND.7_1,Sant Juli√† de L√≤ria,NA,Sant Juli√† de L√≤ria,Parr√≤quia,Parish,NA,AD.JL,nat,Andorra,NA,NA,Sant Julià de Lòria,NA,Sant Julià de Lòria,AD-06,iso3166-2,NA,NA,NA,NA,NA,0.470029421471513,0.47154438589936876
AE,ARE,United Arab Emirates,ARE.2_1,ARE.2_1,Ajman,NA,Ajman,Emirate,Emirate,NA,AE.AJ,NA,NA,NA,NA,‘Ajmān,NA,إمارة عجمانّ,AE-AJ,iso3166-2,NA,NA,NA,0.48941233610069845,0.560118489438247,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.1_1,ARE.1_1,Abu Dhabi,NA,Abu Dhabi,Emirate,Emirate,NA,AE.AZ,NA,NA,NA,NA,Abū Z̧aby,Abu Dhabi,أبو ظبي,AE-AZ,iso3166-2,NA,NA,NA,0.48650908940867216,0.6032046373590704,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.4_1,ARE.4_1,Fujairah,NA,Fujairah,Emirate,Emirate,NA,AE.FU,NA,NA,NA,NA,Al Fujayrah,Fujairah,الفجيرة,AE-FU,iso3166-2,NA,NA,NA,0.4865591100876337,0.5778020166790215,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.6_1,ARE.6_1,Sharjah,NA,Sharjah,Emirate,Emirate,NA,AE.SH,NA,NA,NA,NA,Ash Shāriqah,Sharjah,إمارة الشارقةّ,AE-SH,iso3166-2,NA,NA,NA,0.5147480197382963,0.6044178022008715,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.3_1,ARE.3_1,Dubai,NA,Dubai,Emirate,Emirate,NA,AE.DU,NA,NA,NA,NA,Dubayy,Dubai,دبي,AE-DU,iso3166-2,NA,NA,NA,0.49094841541019807,0.6099465089673627,0.4326890814473066,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.5_1,ARE.5_1,Ras Al-Khaimah,NA,Ras Al-Khaimah,Emirate,Emirate,NA,AE.RK,NA,NA,NA,NA,Ra’s al Khaymah,Ras Al Khaimah,إمارة رأس الخيمة,AE-RK,iso3166-2,NA,NA,NA,0.4171432754820517,0.5072104156005997,0.4326890814473066,0.5660606704047402
